defenderId,defenderName,defenderPositionRaw,defenderGroup,sepoe_mean,sepoe_std,targets,base_metric,score_1_100,group,rank_side
55880,Emmanuel Forbes,CB,CB,0.209224,1.1035465,84,-0.209224,41.19566,CB,bottom
53476,Asante Samuel,CB,CB,0.2102492,1.2038914,111,-0.2102492,41.11899,CB,bottom
44878,Ahkello Witherspoon,CB,CB,0.21873222,1.118722,138,-0.21873222,40.484585,CB,bottom
44904,Jourdan Lewis,CB,CB,0.22121103,1.2437398,105,-0.22121103,40.29921,CB,bottom
46329,Danny Johnson,CB,CB,0.22303206,1.1227005,35,-0.22303206,40.16303,CB,bottom
43314,Artie Burns,CB,CB,0.22609176,1.8290352,33,-0.22609176,39.934208,CB,bottom
46194,Avonte Maddox,CB,CB,0.2302579,1.8693429,28,-0.2302579,39.622646,CB,bottom
44872,Chidobe Awuzie,CB,CB,0.258758,1.2367611,90,-0.258758,37.491272,CB,bottom
46456,Darious Williams,CB,CB,0.28913173,1.2406306,131,-0.28913173,35.21978,CB,bottom
42393,Ronald Darby,CB,CB,0.29633513,1.2940259,64,-0.29633513,34.681076,CB,bottom
54679,Ja'Sir Taylor,CB,CB,0.32280028,1.4577006,79,-0.32280028,32.701885,CB,bottom
52417,C.J. Henderson,CB,CB,0.34795058,1.1256099,41,-0.34795058,30.821028,CB,bottom
56242,Eli Ricks,CB,CB,0.37034774,1.5046873,56,-0.37034774,29.14606,CB,bottom
54969,Ja'Quan McMillian,CB,CB,0.3786575,1.5665021,106,-0.3786575,28.524618,CB,bottom
42441,Steven Nelson,CB,CB,0.38074824,1.4583488,103,-0.38074824,28.368261,CB,bottom
44848,Budda Baker,SS,S/S/FS,0.2923171,1.2928877,56,-0.2923171,34.98156,S/S/FS,bottom
52624,Kam Curl,SS,S/S/FS,0.29600227,1.3533338,121,-0.29600227,34.705967,S/S/FS,bottom
40017,Tyrann Mathieu,FS,S/S/FS,0.32253844,1.4058881,129,-0.32253844,32.721466,S/S/FS,bottom
47974,Marcus Epps,SS,S/S/FS,0.32797977,1.4750131,93,-0.32797977,32.314537,S/S/FS,bottom
46086,Derwin James,SS,S/S/FS,0.32936263,1.5854458,116,-0.32936263,32.21112,S/S/FS,bottom
43474,DeAndre Houston-Carson,FS,S/S/FS,0.3574538,1.5772057,48,-0.3574538,30.11033,S/S/FS,bottom
38868,Tashaun Gipson,FS,S/S/FS,0.3605045,1.4619125,85,-0.3605045,29.882185,S/S/FS,bottom
47864,Will Harris,SS,S/S/FS,0.3789722,1.5936561,27,-0.3789722,28.501081,S/S/FS,bottom
44862,Justin Evans,FS,S/S/FS,0.38504165,1.3617059,34,-0.38504165,28.047178,S/S/FS,bottom
35459,Kareem Jackson,SS,S/S/FS,0.4510508,1.3943042,47,-0.4510508,23.110703,S/S/FS,bottom
43387,Justin Simmons,FS,S/S/FS,0.46694267,1.4362812,106,-0.46694267,21.922232,S/S/FS,bottom
55960,Jordan Battle,SS,S/S/FS,0.50700873,1.4559635,51,-0.50700873,18.9259,S/S/FS,bottom
53530,Ifeatu Melifonwu,SS,S/S/FS,0.5141082,1.5078226,46,-0.5141082,18.39497,S/S/FS,bottom
44851,Marcus Maye,FS,S/S/FS,0.6046461,1.25116,41,-0.6046461,11.624114,S/S/FS,bottom
44827,Malik Hooker,SS,S/S/FS,0.61378914,1.6435897,61,-0.61378914,10.940353,S/S/FS,bottom
47863,Sione Takitaki,OLB,LB,0.10467779,0.9939903,44,-0.10467779,49.014122,LB,bottom
44869,Zach Cunningham,MLB,LB,0.11229004,1.0611196,101,-0.11229004,48.444843,LB,bottom
47872,Bobby Okereke,ILB,LB,0.11552334,1.235594,106,-0.11552334,48.20304,LB,bottom
55175,Nate Landman,ILB,LB,0.116913036,1.0663056,78,-0.116913036,48.099113,LB,bottom
46110,Harold Landry III,OLB,LB,0.12372927,0.5980831,26,-0.12372927,47.58936,LB,bottom
52527,Mykal Walker,ILB,LB,0.12758575,0.86774015,46,-0.12758575,47.300953,LB,bottom
54540,Christian Harris,OLB,LB,0.1360192,0.9615934,85,-0.1360192,46.67026,LB,bottom
38588,Lavonte David,ILB,LB,0.14583425,1.1803011,142,-0.14583425,45.936245,LB,bottom
53542,Derrick Barnes,MLB,LB,0.2043157,1.0379503,65,-0.2043157,41.562725,LB,bottom
52471,Willie Gay Jr.,ILB,LB,0.23788644,0.9497865,48,-0.23788644,39.052147,LB,bottom
52510,Alex Highsmith,OLB,LB,0.25377327,1.165711,25,-0.25377327,37.86405,LB,bottom
53614,Nick Niemann,MLB,LB,0.26853555,1.0296068,28,-0.26853555,36.76006,LB,bottom
47971,David Long Jr.,ILB,LB,0.33269808,1.0203252,87,-0.33269808,31.961681,LB,bottom
44818,Jamal Adams,OLB,LB,0.3556123,1.0375373,59,-0.3556123,30.248045,LB,bottom
42467,Kwon Alexander,OLB,LB,0.38315353,1.3423479,46,-0.38315353,28.188381,LB,bottom
54466,Travon Walker,DE,DL,-0.012281052,0.96678257,28,0.012281052,57.76086,DL,bottom
