receiverId,receiverName,receiverPositionRaw,receiverGroup,sepoe_mean,sepoe_std,targets,base_metric,score_1_100,group,rank_side
47839,Mecole Hardman,WR,WR,0.5757513,1.5103312,21,0.5757513,99.89985,WR,top
43808,Robbie Chosen,WR,WR,0.49034855,1.28328,18,0.49034855,93.51302,WR,top
55965,Tre Tucker,WR,WR,0.48791137,1.5105636,62,0.48791137,93.33076,WR,top
47991,Scott Miller,WR,WR,0.48715398,1.6651474,24,0.48715398,93.274124,WR,top
55928,Marvin Mims Jr.,WR,WR,0.42743894,1.9917605,38,0.42743894,88.80835,WR,top
48415,Deonte Harty,WR,WR,0.42378148,1.2948892,19,0.42378148,88.53482,WR,top
44849,Zay Jones,WR,WR,0.362883,1.4323759,119,0.362883,83.980545,WR,top
38696,Marvin Jones,WR,WR,0.34001222,1.427915,27,0.34001222,82.27016,WR,top
54499,Christian Watson,WR,WR,0.32493824,1.5665413,115,0.32493824,81.14285,WR,top
52536,Gabe Davis,WR,WR,0.30957636,1.5215259,160,0.30957636,79.994026,WR,top
56252,Xavier Gipson,WR,WR,0.30225343,1.3230948,60,0.30225343,79.44637,WR,top
53488,Terrace Marshall Jr.,WR,WR,0.29959235,0.8923103,60,0.29959235,79.24737,WR,top
53449,Kadarius Toney,WR,WR,0.2502513,1.2456955,53,0.2502513,75.55741,WR,top
54515,Tyquan Thornton,WR,WR,0.24977773,0.7781246,44,0.24977773,75.52199,WR,top
46256,Ray-Ray McCloud,WR,WR,0.24332774,1.5462663,23,0.24332774,75.039635,WR,top
48233,Alec Ingold,FB,TE/FB,0.49450052,1.4509927,18,0.49450052,93.823524,TE/FB,top
47833,Irv Smith,TE,TE/FB,0.385801,1.0805744,35,0.385801,85.69446,TE/FB,top
42589,Geoff Swaim,TE,TE/FB,0.3273953,0.8296624,20,0.3273953,81.32661,TE/FB,top
47835,Drew Sample,TE,TE/FB,0.26769075,0.93737996,23,0.26769075,76.86162,TE/FB,top
47852,Josh Oliver,TE,TE/FB,0.23367696,1.1367446,38,0.23367696,74.3179,TE/FB,top
42460,Blake Bell,TE,TE/FB,0.23115279,0.76164526,15,0.23115279,74.129135,TE/FB,top
56012,Josh Whyle,TE,TE/FB,0.22540301,1.4911592,38,0.22540301,73.699135,TE/FB,top
55061,Stone Smartt,TE,TE/FB,0.20557575,1.3762507,39,0.20557575,72.21636,TE/FB,top
53484,Pat Freiermuth,TE,TE/FB,0.19920452,1.28511,85,0.19920452,71.73989,TE/FB,top
54604,Isaiah Likely,TE,TE/FB,0.18166529,1.2989641,74,0.18166529,70.42822,TE/FB,top
54657,Andrew Ogletree,TE,TE/FB,0.16980557,1.2881374,47,0.16980557,69.5413,TE/FB,top
46189,Will Dissly,TE,TE/FB,0.15757447,1.1158326,29,0.15757447,68.626595,TE/FB,top
48096,Andrew Beck,FB,TE/FB,0.15279424,0.8748774,23,0.15279424,68.26911,TE/FB,top
46167,Jordan Akins,TE,TE/FB,0.14195773,1.1275834,38,0.14195773,67.4587,TE/FB,top
55923,Luke Schoonmaker,TE,TE/FB,0.13652451,0.9895249,30,0.13652451,67.052376,TE/FB,top
55949,De'Von Achane,RB,RB,0.5374806,2.2079074,19,0.5374806,97.03779,RB,top
45573,Austin Ekeler,RB,RB,0.28053182,0.97781104,39,0.28053182,77.82193,RB,top
54905,Jaylen Warren,RB,RB,0.27930838,1.0751765,34,0.27930838,77.730446,RB,top
53555,Chuba Hubbard,RB,RB,0.27147043,1.0589616,26,0.27147043,77.14428,RB,top
54528,James Cook,RB,RB,0.23180825,1.2730814,55,0.23180825,74.17815,RB,top
52922,Salvon Ahmed,RB,RB,0.19737734,1.1312345,24,0.19737734,71.60324,RB,top
46071,Saquon Barkley,RB,RB,0.19068931,1.2548146,56,0.19068931,71.10308,RB,top
44995,Aaron Jones,RB,RB,0.19055842,0.9934289,28,0.19055842,71.09329,RB,top
52474,Antonio Gibson,RB,RB,0.18501192,0.8435835,39,0.18501192,70.6785,RB,top
54629,Kyren Williams,RB,RB,0.16199839,1.587646,40,0.16199839,68.95744,RB,top
47857,Devin Singletary,RB,RB,0.13800982,0.64616877,36,0.13800982,67.16345,RB,top
54556,Rachaad White,RB,RB,0.13554688,0.9606265,42,0.13554688,66.97927,RB,top
54621,Jerome Ford,RB,RB,0.12036092,0.69629294,54,0.12036092,65.84359,RB,top
41325,Jerick McKinnon,RB,RB,0.10143677,1.381005,23,0.10143677,64.42835,RB,top
47911,Tony Pollard,RB,RB,0.086489275,0.7059168,55,0.086489275,63.310505,RB,top
