defenderName,defenderId,defenderPositionRaw,defenderGroup,targets,score_1_100,sepoe_mean,sepoe_std
Eric Rowe,42390,SS,S/S/FS,31,96.97,-0.5366,1.2205
Anthony Johnson Jr.,56107,FS,S/S/FS,40,92.75,-0.4801,1.3842
Quan Martin,55912,FS,S/S/FS,52,89.35,-0.4346,1.1907
Jalen Pitre,54502,FS,S/S/FS,89,82.76,-0.3466,1.4353
Markquese Bell,55149,SS,S/S/FS,72,80.33,-0.314,0.8191
Percy Butler,54578,SS,S/S/FS,72,78.33,-0.2874,1.0589
Josh Metellus,52613,SS,S/S/FS,129,77.79,-0.2801,1.1927
Juan Thornhill,47846,FS,S/S/FS,57,76.46,-0.2623,0.9541
Minkah Fitzpatrick,46080,FS,S/S/FS,67,74.98,-0.2425,1.0418
Xavier McKinney,52444,SS,S/S/FS,108,73.93,-0.2285,1.2931
Chamarri Conner,55984,SS,S/S/FS,29,73.37,-0.221,1.1211
Xavier Woods,45004,FS,S/S/FS,76,73.15,-0.2181,1.4467
Donovan Wilson,47996,FS,S/S/FS,82,72.52,-0.2096,1.159
Elijah Molden,53529,FS,S/S/FS,80,70.67,-0.1848,1.4435
Dane Belton,54579,SS,S/S/FS,33,69.77,-0.1729,1.6759
Sydney Brown,55931,SS,S/S/FS,42,68.68,-0.1583,1.0336
Camryn Bynum,53554,FS,S/S/FS,140,68.63,-0.1576,1.4832
Tavierre Thomas,46672,FS,S/S/FS,41,68.47,-0.1554,1.0829
Brian Branch,55910,SS,S/S/FS,110,67.79,-0.1463,1.2197
Antoine Winfield Jr.,52453,FS,S/S/FS,117,67.54,-0.143,1.2267
Geno Stone,52627,FS,S/S/FS,105,67.15,-0.1379,1.3975
K'Von Wallace,52535,FS,S/S/FS,82,66.67,-0.1314,1.1882
Elijah Hicks,54719,FS,S/S/FS,48,66.4,-0.1279,1.2808
Andre Cisco,53494,FS,S/S/FS,85,66.26,-0.1259,1.3552
Jimmie Ward,41256,FS,S/S/FS,59,66.11,-0.1239,1.4146
Darnell Savage,47804,FS,S/S/FS,46,65.96,-0.122,1.0729
Andrew Wingard,48508,FS,S/S/FS,32,65.89,-0.121,1.1776
Harrison Smith,38559,FS,S/S/FS,102,65.4,-0.1144,1.3965
Talanoa Hufanga,53609,SS,S/S/FS,66,64.37,-0.1007,1.1477
Jayron Kearse,43533,FS,S/S/FS,88,64.26,-0.0992,1.2913
Terrell Edmunds,46097,FS,S/S/FS,59,64.22,-0.0986,1.2396
Marcus Williams,44854,FS,S/S/FS,77,63.69,-0.0916,1.3474
Sam Franklin Jr.,52939,FS,S/S/FS,27,63.07,-0.0833,1.2581
Reed Blankenship,54808,FS,S/S/FS,111,62.53,-0.076,1.3679
Rudy Ford,45021,FS,S/S/FS,55,62.41,-0.0744,1.0868
Jordan Poyer,40166,SS,S/S/FS,82,61.85,-0.067,1.3404
Kerby Joseph,54562,FS,S/S/FS,112,61.73,-0.0654,1.5591
Andre Chachere,46807,SS,S/S/FS,39,61.6,-0.0636,0.9479
Jessie Bates,46123,SS,S/S/FS,122,61.44,-0.0614,1.4898
Kyle Dugger,52445,SS,S/S/FS,115,60.82,-0.0532,1.3015
Jalen Thompson,49410,FS,S/S/FS,85,60.34,-0.0467,1.3345
Jaquan Brisker,54513,SS,S/S/FS,111,60.31,-0.0464,1.1641
Jordan Fuller,52607,FS,S/S/FS,121,60.2,-0.0449,1.307
Damontae Kazee,44962,FS,S/S/FS,88,60.2,-0.0449,1.3668
Darrick Forrest,53592,FS,S/S/FS,26,59.67,-0.0378,1.9024
Quentin Lake,54676,FS,S/S/FS,70,59.45,-0.0348,1.0868
Jordan Howden,56011,FS,S/S/FS,65,58.89,-0.0274,1.575
Ryan Neal,46711,SS,S/S/FS,62,58.66,-0.0243,1.1712
Jeremy Chinn,52472,SS,S/S/FS,34,58.5,-0.0221,1.5851
Ronnie Hickman Jr.,56405,FS,S/S/FS,28,57.82,-0.0131,1.3944
Myles Bryant,52991,S,S/S/FS,111,56.44,0.0054,1.3291
Jevon Holland,53465,FS,S/S/FS,72,56.19,0.0088,1.3104
Mike Edwards,47882,FS,S/S/FS,67,56.13,0.0095,1.487
DeShon Elliott,46259,SS,S/S/FS,98,55.23,0.0215,1.4115
Jason Pinnock,53604,FS,S/S/FS,84,55.14,0.0227,1.2972
DeMarcco Hellams,56089,SS,S/S/FS,37,54.79,0.0274,1.3964
Christian Izien,56540,SS,S/S/FS,108,53.85,0.0401,1.2697
Brandon Jones,52478,FS,S/S/FS,51,53.57,0.0437,1.1492
Vonn Bell,43350,SS,S/S/FS,66,53.41,0.0459,1.4156
Eddie Jackson,44925,FS,S/S/FS,64,53.38,0.0463,1.1672
Julian Love,47891,SS,S/S/FS,115,52.7,0.0554,1.368
Alohi Gilman,52594,FS,S/S/FS,90,52.57,0.0571,1.3277
Rodney Thomas,54704,FS,S/S/FS,67,52.5,0.058,1.4229
Keanu Neal,43306,FS,S/S/FS,52,52.21,0.0619,1.2435
Jabrill Peppers,44837,SS,S/S/FS,80,52.16,0.0626,1.2627
John Johnson,44903,SS,S/S/FS,66,50.82,0.0805,1.1697
Taylor Rapp,47844,FS,S/S/FS,39,50.74,0.0816,1.4384
Micah Hyde,40107,FS,S/S/FS,83,50.31,0.0874,1.3197
Richie Grant,53469,SS,S/S/FS,90,50.26,0.088,1.2914
Russ Yeast,54718,FS,S/S/FS,91,49.66,0.0961,1.2817
P.J. Locke,48447,SS,S/S/FS,60,49.65,0.0962,1.4365
Isaiah Oliver,46127,FS,S/S/FS,73,49.57,0.0973,1.2929
Kevin Byard,43353,FS,S/S/FS,107,49.48,0.0984,1.333
Tracy Walker III,46151,FS,S/S/FS,66,49.18,0.1024,1.5003
Tony Adams,54833,SS,S/S/FS,72,49.01,0.1048,1.3928
Kyle Hamilton,54479,SS,S/S/FS,112,47.02,0.1314,1.3012
