week,_z_triggers,game_id,play_id,receiverId,receiverName,defenderId,defenderName,route,coverage_man_zone,coverage_type,sep_arrival_def,time_in_air,def_to_rec_dist_release,def_to_ball_dist_release,rec_speed_release,def_speed_release,rec_accel_release,def_accel_release,_max_abs_z
1,time_in_air,2023091100,3167,54475,Garrett Wilson,54650,Christian Benford,CORNER,ZONE_COVERAGE,COVER_2_ZONE,3.76192855834961,9.4,6.022889137268066,18.464609146118164,7.070000171661377,6.449999809265137,3.059999942779541,2.759999990463257,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,40166,Jordan Poyer,CORNER,ZONE_COVERAGE,COVER_2_ZONE,3.2213351726531982,9.4,10.088621139526367,7.881242752075195,7.070000171661377,5.079999923706055,3.059999942779541,3.4200000762939453,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,44976,Matt Milano,CORNER,ZONE_COVERAGE,COVER_2_ZONE,9.536425590515137,9.4,16.466346740722656,28.46124649047852,7.070000171661377,2.119999885559082,3.059999942779541,1.5299999713897705,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,40107,Micah Hyde,CORNER,ZONE_COVERAGE,COVER_2_ZONE,7.757349967956543,9.4,20.512439727783203,26.59807777404785,7.070000171661377,4.519999980926514,3.059999942779541,2.8399999141693115,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,46190,Taron Johnson,CORNER,ZONE_COVERAGE,COVER_2_ZONE,5.996940612792969,9.4,6.518013954162598,20.35640525817871,7.070000171661377,1.7100000381469729,3.059999942779541,2.380000114440918,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,54554,Terrel Bernard,CORNER,ZONE_COVERAGE,COVER_2_ZONE,7.573379516601562,9.4,11.653610229492188,21.41201400756836,7.070000171661377,4.159999847412109,3.059999942779541,2.1600000858306885,15.678191628944635
1,time_in_air,2023091100,3167,54475,Garrett Wilson,44839,Tre'Davious White,CORNER,ZONE_COVERAGE,COVER_2_ZONE,13.34902572631836,9.4,24.202960968017575,33.908573150634766,7.070000171661377,3.759999990463257,3.059999942779541,0.7599999904632568,15.678191628944635
16,time_in_air,2023122100,1450,43415,Demarcus Robinson,54514,Alontae Taylor,OUT,ZONE_COVERAGE,COVER_3_ZONE,2.782982587814331,5.5,14.99635887145996,10.982404708862305,5.21999979019165,3.900000095367432,5.550000190734863,4.659999847412109,8.219207709430409
16,time_in_air,2023122100,1450,43415,Demarcus Robinson,53489,Pete Werner,OUT,ZONE_COVERAGE,COVER_3_ZONE,10.14049243927002,5.5,13.277423858642578,24.68708610534668,5.21999979019165,1.9700000286102293,5.550000190734863,6.210000038146973,8.219207709430409
16,time_in_air,2023122100,1450,43415,Demarcus Robinson,56011,Jordan Howden,OUT,ZONE_COVERAGE,COVER_3_ZONE,4.497509479522705,5.5,13.589280128479004,24.35022354125977,5.21999979019165,3.440000057220459,5.550000190734863,5.829999923706055,8.219207709430409
16,time_in_air,2023122100,1450,43415,Demarcus Robinson,55132,Nephi Sewell,OUT,ZONE_COVERAGE,COVER_3_ZONE,3.95426344871521,5.5,9.59230613708496,18.08692169189453,5.21999979019165,2.470000028610229,5.550000190734863,4.039999961853027,8.219207709430409
16,time_in_air,2023122100,1450,43415,Demarcus Robinson,53505,Paulson Adebo,OUT,ZONE_COVERAGE,COVER_3_ZONE,0.4596748948097229,5.5,1.1300491094589231,11.460439682006836,5.21999979019165,4.570000171661377,5.550000190734863,3.630000114440918,8.219207709430409
6,"def_to_rec_dist_release, def_to_ball_dist_release",2023101505,3518,55133,Rashid Shaheed,54502,Jalen Pitre,GO,ZONE_COVERAGE,COVER_6_ZONE,12.59311294555664,3.6,33.01348114013672,38.9826774597168,9.850000381469728,4.960000038146973,0.5,3.470000028610229,5.560937035454293
17,def_to_ball_dist_release,2023123114,1878,55915,Jayden Reed,42427,Jordan Hicks,POST,ZONE_COVERAGE,COVER_2_ZONE,13.986303329467772,3.2,12.0093994140625,38.84041595458984,9.779999732971191,6.690000057220459,1.3700000047683716,1.1399999856948853,5.447894547761324
15,def_to_rec_dist_release,2023121704,1547,44959,George Kittle,49410,Jalen Thompson,FLAT,ZONE_COVERAGE,COVER_3_ZONE,12.23898696899414,2.0,32.14632034301758,23.24319076538086,6.840000152587891,6.71999979019165,1.0700000524520874,3.2300000190734863,5.374124110546268
17,def_to_ball_dist_release,2023123110,3507,47859,Terry McLaurin,46127,Isaiah Oliver,GO,ZONE_COVERAGE,COVER_4_ZONE,8.706578254699707,3.2,7.780313491821289,36.73622512817383,5.610000133514404,3.3499999046325684,4.510000228881836,1.809999942779541,5.0528209860420406
